page,tier,code,label,ps,mooe,co,total
28,2,,Ilocos Sur 2nd District Engineering Office,,,9659000,9659000
28,2,,La Union 1st District Engineering Office,,,18000000,18000000
28,2,,La Union 2nd District Engineering Office,,,8196000,8196000
28,2,,Pangasinan 2nd District Engineering Office,,,20000000,20000000
28,1,,Region II - Cagayan Valley,,,68486000,68486000
28,2,,Isabela 3rd District Engineering Office,,,68486000,68486000
28,1,,Region III - Central Luzon,,,90825000,90825000
28,2,,Pampanga 2nd District Engineering Office,,,61029000,61029000
28,2,,Tarlac District Engineering Office,,,29796000,29796000
29,1,,Region IVA - CALABARZON,,,408136000,408136000
29,2,,Batangas 2nd District Engineering Office,,,30603000,30603000
29,2,,Batangas 4th District Engineering Office,,,62534000,62534000
29,2,,Cavite District Engineering Office,,,84216000,84216000
29,2,,Cavite Third District Engineering Office,,,112789000,112789000
29,2,,Laguna 1st District Engineering Office,,,12515000,12515000
29,2,,Laguna 2nd District Engineering Office,,,29416000,29416000
29,2,,Rizal 1st District Engineering Office,,,66402000,66402000
29,2,,Rizal 2nd District Engineering Office,,,9661000,9661000
29,1,,Region VI - Western Visayas,,,56872000,56872000
29,2,,Capiz 1st District Engineering Office,,,7702000,7702000
29,2,,Iloilo 2nd District Engineering Office,,,30000000,30000000
29,2,,Iloilo City District Engineering Office,,,19170000,19170000
29,1,,Negros Island Region (NIR),,,390277000,390277000
29,2,,Bacolod City District Engineering Office,,,42336000,42336000
29,2,,Negros Occidental 2nd District Engineering Office,,,130675000,130675000
29,2,,Negros Occidental 3rd District Engineering Office,,,9676000,9676000
29,2,,Negros Occidental 5th District Engineering Office,,,160513000,160513000
29,2,,Negros Oriental 1st District Engineering Office,,,47077000,47077000
29,1,,Region VII - Central Visayas,,,85897000,85897000
29,2,,Cebu 1st District Engineering Office,,,20828000,20828000
29,2,,Cebu 2nd District Engineering Office,,,65069000,65069000
29,1,,Region VIII - Eastern Visayas,,,41538000,41538000
29,2,,Leyte 2nd District Engineering Office,,,13798000,13798000
29,2,,Leyte 4th District Engineering Office,,,27740000,27740000
30,1,,Region IX - Zamboanga Peninsula,,,239303000,239303000
30,2,,Zamboanga del Norte 1st District Engineering Office,,,41324000,41324000
30,2,,Zamboanga del Norte 2nd District Engineering Office,,,90295000,90295000
30,2,,Zamboanga del Norte 3rd District Engineering Office,,,85813000,85813000
30,2,,Zamboanga del Sur 1st District Engineering Office,,,21871000,21871000
30,1,,Region X - Northern Mindanao,,,132368000,132368000
30,2,,Cagayan de Oro City 2nd District Engineering Office,,,24000000,24000000
30,2,,Lanao del Norte 2nd District Engineering Office,,,108368000,108368000
